,rent_cost,Area_m2,rooms,Dictrict_8,Dishwasher,Shower_cabin,Bathroom_combined_3,Distance_from_Cremlin,Bathroom_combined_2,Repair_disigne,Ceiling_height_m,Bathroom_combined_4,Parking_underground,Air_conditioner,Repair_cosmetic,House_panel,Bathroom_separate_3,ulitsa_dvor,Bathroom_combined_1,Bathroom_separate_4,House_monolithic_brick,Telephone,House_noun,dvor,Bathroom_combined_0,Television,Parking_paid_yard,House_monolithic,Bathroom_separate_2,Dictrict_1,Dictrict_10,House_block,Pass_lift_1,You_can_with_animals,Dictrict_2,Dictrict_6,Bathroom_separate_1,House_oldfond,Dictrict_9,Loggia_1
11160,40000.0,45.0,1.0,0,False,False,0,9.89,0,0,2.99,0,0,False,1,0,0,0,1,0,0,False,0,0,0,False,0,1,0,0,0,0,0,False,0,0,0,0,0,0
11161,40000.0,50.0,2.0,0,False,True,0,9.4,0,0,2.99,0,0,True,0,0,0,0,1,0,0,False,1,0,0,True,1,0,0,0,0,0,1,False,0,0,0,0,0,0
11162,41000.0,39.0,1.0,0,False,False,0,9.67,0,0,2.99,0,0,True,0,0,0,0,0,0,0,False,1,1,1,True,0,0,0,0,0,0,1,False,0,0,1,0,0,1
11163,42000.0,44.0,2.0,0,False,False,0,9.04,0,0,2.99,0,0,False,1,0,0,0,1,0,0,False,0,1,0,False,1,0,0,0,0,0,1,False,0,0,0,0,0,0
11164,43000.0,45.0,2.0,0,False,False,0,9.45,0,0,2.99,0,0,False,0,1,0,0,1,0,0,False,0,0,0,False,0,0,0,0,0,0,0,True,0,0,0,0,0,0
11165,43000.0,45.0,2.0,0,False,False,0,9.37,0,0,2.99,0,0,False,1,1,0,0,1,0,0,False,0,0,0,True,0,0,0,0,0,0,0,False,0,0,0,0,0,0
11166,43000.0,41.0,2.0,0,False,False,0,9.4,0,0,2.99,0,0,True,1,0,0,0,1,0,0,True,0,1,0,True,1,0,0,0,0,1,1,False,0,0,0,0,0,0
11167,43500.0,59.0,2.0,0,False,False,0,10.42,0,0,2.64,0,0,False,1,1,0,0,0,0,0,False,0,1,1,False,0,0,0,0,0,0,0,True,0,0,1,0,0,0
11168,45000.0,45.0,2.0,0,False,True,0,9.63,0,0,2.64,0,0,False,1,0,0,0,0,0,0,False,0,0,1,False,1,0,0,0,0,0,1,False,0,0,1,0,0,1
11169,45000.0,37.0,2.0,0,False,False,0,9.12,0,0,2.7,0,0,False,0,1,0,0,1,0,0,False,0,1,0,False,0,0,0,0,0,0,1,False,0,0,0,0,0,0
11170,45000.0,43.0,2.0,0,False,False,0,9.98,0,0,2.99,0,0,False,1,0,0,0,1,0,0,False,0,1,0,False,0,0,0,0,0,0,1,True,0,0,0,0,0,0
11171,46000.0,48.0,1.0,0,False,False,0,10.44,0,0,2.8,0,0,False,0,1,0,0,0,0,0,False,0,1,1,False,0,0,0,0,0,0,0,False,0,0,1,0,0,1
11172,47000.0,42.0,2.0,0,False,False,0,10.1,0,0,2.8,0,0,False,0,0,0,0,0,0,0,True,0,1,1,False,1,0,0,0,0,0,1,False,1,0,1,0,0,1
11173,47000.0,39.0,1.0,0,False,False,0,10.34,0,0,2.64,0,0,False,1,0,0,0,0,0,0,False,0,1,1,True,1,0,0,0,0,0,0,False,0,0,1,0,0,0
11174,48000.0,45.0,1.0,0,False,False,0,9.24,0,0,2.48,0,0,False,0,0,0,0,1,0,0,False,0,1,0,False,0,0,0,0,0,1,0,False,0,0,0,0,0,1
11175,48000.0,30.0,1.0,0,False,False,0,10.17,0,0,2.99,0,0,False,0,0,0,0,1,0,0,False,0,0,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
11176,50000.0,65.0,2.0,0,False,False,0,9.6,0,0,2.99,0,0,False,1,0,0,0,0,0,0,False,1,0,1,False,0,0,0,0,0,0,1,True,0,0,1,0,0,0
11177,50000.0,45.0,2.0,0,True,False,0,9.32,0,0,2.64,0,0,True,0,0,0,0,1,0,0,False,0,1,0,False,1,0,0,0,0,1,1,False,0,0,0,0,0,0
